origin,carrier,flights,delay_rate,avg_delay_mins
JFK,B6,2827,0.301733286169084,20.9925716307039
JFK,DL,2478,0.239305891848265,17.7933817594835
JFK,YX,1258,0.24483306836248,17.3243243243243
JNU,AS,336,0.130952380952381,10.1696428571429
KOA,HA,497,0.130784708249497,8.41247484909457
LAS,AA,1157,0.191011235955056,16.6127917026793
LAS,AS,457,0.282275711159737,19.0568927789934
LAS,DL,1241,0.141821112006446,13.5624496373892
LAS,F9,979,0.21144024514811,17.8651685393258
LAS,G4,647,0.185471406491499,15.5069551777434
LAS,NK,1030,0.0990291262135922,8.41553398058252
LAS,OO,353,0.18413597733711,13.7025495750708
LAS,UA,1209,0.224979321753515,14.6633581472291
LAS,WN,7282,0.292090085141445,16.5922823400165
LAX,AA,2247,0.202047174009791,18.7387627948376
LAX,AS,556,0.113309352517986,7.68345323741007
LAX,B6,598,0.222408026755853,20.7541806020067
LAX,DL,2919,0.161014045906132,12.9979445015416
LAX,F9,509,0.259332023575639,19.7740667976424
LAX,NK,468,0.166666666666667,13.2478632478632
LAX,OO,3107,0.149018345671065,11.0418410041841
LAX,UA,2119,0.146767343086361,10.0273714016045
LAX,WN,2152,0.233736059479554,12.3303903345725
LGA,AA,1233,0.376317923763179,30.6942416869424
LGA,B6,328,0.359756097560976,24.6524390243902
LGA,DL,2526,0.338875692794933,25.0261282660333
LGA,NK,426,0.258215962441315,16.8544600938967
LGA,UA,776,0.400773195876289,26.7835051546392
LGA,WN,946,0.394291754756871,25.5824524312896
LGA,YX,4429,0.338451117633777,22.3650937006096
LGB,WN,1199,0.15929941618015,8.47706422018349
LIH,HA,588,0.156462585034014,7.82482993197279
LIT,MQ,377,0.220159151193634,14.6259946949602
MAF,OO,315,0.193650793650794,19.4412698412698
MCI,AA,459,0.156862745098039,19.0087145969499
MCI,DL,691,0.141823444283647,12.6497829232996
MCI,WN,1926,0.23208722741433,12.1780893042575
MCO,AA,1415,0.251590106007067,25.2657243816254
MCO,B6,1354,0.295420974889217,22.3323485967504
MCO,DL,1535,0.216938110749186,19.6762214983713
MCO,F9,1240,0.187903225806452,15.9338709677419
MCO,NK,1454,0.24484181568088,17.9910591471802
